Companies,SICS Industry,Total Scope 1 GHG Emissions,Total Scope 2 market-based GHG emissions,Total Scope 3 GHG Emissions,Indicates disclosure of assurance or verification of GHG emissions,Indicates disclosure of absolute GHG emissions reduction target,Indicates disclosure of GHG emissions intensity reduction target,Indicates disclosure of validation of GHG emissions reduction targets,Stock Name,Stock Price,Currency,USDStockPrice,Sustainability Score
adidas AG,"Apparel, Accessories & Footwear","12,908.400 tCO₂e","125,502.200 tCO₂e","7,254,510.000 tCO₂e",1,1,0,1,ADDYY,93.71,USD,93.71,3
ALPHABET INC.,Internet Media & Services,"45,073.000 tCO₂e","1,823,132.000 tCO₂e","9,503,000.000 tCO₂e",1,1,0,0,GOOG,147.22,USD,147.22,4
"AMERICAN AIRLINES, INC.",Airlines,"28,810,236.000 tCO₂e","249,112.000 tCO₂e","12,907,211.000 tCO₂e",1,1,1,1,AAL,14.95,USD,14.95,4
American Eagle Outfitters Inc.,"Apparel, Accessories & Footwear","7,790.000 tCO₂e","41,795.000 tCO₂e","3,002,500.000 tCO₂e",0,null,null,null,AEO,21.62,USD,21.62,3
ASICS Corporation,"Apparel, Accessories & Footwear","3,071.000 tCO₂e","19,138.000 tCO₂e","684,314.000 tCO₂e",1,1,0,1,ASCCF,30.17,USD,30.17,3
ATEA ASA,Software & IT Services,"3,407.000 tCO₂e","2,880.000 tCO₂e","796,353.000 tCO₂e",1,1,0,1,ATEA.OL,129.6,NOK,12.27,3
"AUTOLIV, INC.",Auto Parts,"103,000.000 tCO₂e","333,000.000 tCO₂e","9,953,000.000 tCO₂e",0,1,0,1,ALV,109.5,USD,109.5,2
BURBERRY GROUP PLC,"Apparel, Accessories & Footwear","2,089.000 tCO₂e","1,916.000 tCO₂e","244,490.000 tCO₂e",1,null,null,null,BURBY,16.7,USD,16.7,4
CARREFOUR,Food Retailers & Distributors,"613,932.000 tCO₂e","869,069.000 tCO₂e","137,075,378.000 tCO₂e",1,1,0,1,CA.PA,15.2,EUR,16.38,4
"CATALENT PHARMA SOLUTIONS, INC.",Biotechnology & Pharmaceuticals,"65,500.000 tCO₂e","111,800.000 tCO₂e",0.000 tCO₂e,1,1,0,0,CTLT,56.55,USD,56.55,2
CEMEX S A B DE C V,Construction Materials,"38,399,669.500 tCO₂e","3,523,001.800 tCO₂e","15,121,840.833 tCO₂e",1,1,1,1,CX,7.98,USD,7.98,4
"CISCO SYSTEMS, INC.",Hardware,"26,694.000 tCO₂e","147,801.000 tCO₂e","22,944,709.000 tCO₂e",1,1,0,1,CSCO,49.95,USD,49.95,5
COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,Software & IT Services,"10,600.000 tCO₂e","62,903.000 tCO₂e","1,190,951.000 tCO₂e",1,1,0,0,CTSH,78.3,USD,78.3,1
